frame,landmark_index,x,y,z,visibility
1,0,0.43849503993988037,0.39696037769317627,0.1190948337316513,0.8929527401924133
1,1,0.44054922461509705,0.39995840191841125,0.11875257641077042,0.9005433320999146
1,2,0.44142797589302063,0.3999849855899811,0.11865555495023727,0.8674001693725586
1,3,0.4422435164451599,0.399720698595047,0.11866949498653412,0.9009789824485779
1,4,0.43863445520401,0.3997480869293213,0.11745333671569824,0.9575386047363281
1,5,0.43796008825302124,0.39946913719177246,0.11734892427921295,0.9635062217712402
1,6,0.4373416602611542,0.3993834853172302,0.11728930473327637,0.9753512740135193
1,7,0.4444962739944458,0.395943284034729,0.10745904594659805,0.8840979933738708
1,8,0.43700721859931946,0.3960018754005432,0.1013093814253807,0.9208774566650391
1,9,0.43967869877815247,0.39361435174942017,0.11594795435667038,0.8329998850822449
1,10,0.43744805455207825,0.3931530714035034,0.1135435625910759,0.8842412829399109
1,11,0.4523719251155853,0.3789387345314026,0.08716296404600143,0.9992658495903015
1,12,0.4269142150878906,0.38380056619644165,0.06709031015634537,0.9993984699249268
1,13,0.4607599675655365,0.3751381039619446,0.06558441370725632,0.010962073691189289
1,14,0.41631507873535156,0.38404250144958496,0.014078810811042786,0.08268249779939651
1,15,0.45819881558418274,0.40019285678863525,0.052660197019577026,0.12792564928531647
1,16,0.41541263461112976,0.41642090678215027,-0.03069000504910946,0.7165597081184387
1,17,0.4594796895980835,0.4080527424812317,0.050617095082998276,0.21224980056285858
1,18,0.41625145077705383,0.4319866895675659,-0.04343680292367935,0.7519845962524414
1,19,0.46000048518180847,0.42298373579978943,0.04950195550918579,0.2055809497833252
1,20,0.4182091951370239,0.432608425617218,-0.03826139122247696,0.7271350622177124
1,21,0.4552495777606964,0.40984058380126953,0.0521790012717247,0.14381621778011322
1,22,0.41745972633361816,0.42628031969070435,-0.030796382576227188,0.6075649857521057
1,23,0.4454598128795624,0.3107205629348755,0.003087209537625313,0.9998416900634766
1,24,0.42927175760269165,0.31621241569519043,-0.0033196699805557728,0.9999005794525146
1,25,0.44368061423301697,0.31823691725730896,-0.007892043329775333,0.1387503743171692
1,26,0.4318521320819855,0.299151211977005,-0.031990595161914825,0.4003245234489441
1,27,0.44789525866508484,0.2763603627681732,-0.06544070690870285,0.5956484079360962
1,28,0.4445284307003021,0.2638629972934723,-0.09903059899806976,0.6631659269332886
1,29,0.44841888546943665,0.270632266998291,-0.07280546426773071,0.7839686274528503
1,30,0.44591614603996277,0.2613395154476166,-0.10615281015634537,0.7758311629295349
1,31,0.4471200406551361,0.25700467824935913,-0.10401228070259094,0.5061745047569275
1,32,0.4482113718986511,0.23971618711948395,-0.13799405097961426,0.5696708559989929
2,0,0.44040024280548096,0.412374883890152,0.1614246666431427,0.9972969889640808
2,1,0.4410516619682312,0.416450560092926,0.16542848944664001,0.9977670907974243
2,2,0.44147631525993347,0.4166300892829895,0.16533403098583221,0.9966155886650085
2,3,0.4418623745441437,0.4165128171443939,0.16535884141921997,0.9974797368049622
2,4,0.44008657336235046,0.4154762625694275,0.16570506989955902,0.9990992546081543
2,5,0.43963125348091125,0.4148540496826172,0.1655895709991455,0.999139666557312
2,6,0.4392162561416626,0.4144471287727356,0.165547177195549,0.9994361996650696
2,7,0.44228702783584595,0.4110550880432129,0.16287480294704437,0.9954185485839844
2,8,0.43782997131347656,0.40878888964653015,0.16419187188148499,0.9975296854972839
2,9,0.4402914345264435,0.40709972381591797,0.16032098233699799,0.9908355474472046
2,10,0.4392988979816437,0.40576720237731934,0.15996666252613068,0.9931575655937195
2,11,0.4487639367580414,0.3899940848350525,0.13183069229125977,0.9997180104255676
2,12,0.424159437417984,0.38207846879959106,0.12523096799850464,0.9998196959495544
2,13,0.45882824063301086,0.3851943612098694,0.0947239100933075,0.03260515630245209
2,14,0.4078100621700287,0.37116819620132446,0.08120943605899811,0.13644476234912872
2,15,0.4642597734928131,0.4201139807701111,0.06504939496517181,0.3850556015968323
2,16,0.41137805581092834,0.41829127073287964,0.04685712978243828,0.8911200165748596
2,17,0.4654824435710907,0.4269329309463501,0.06092566251754761,0.5204288959503174
2,18,0.41063401103019714,0.43362438678741455,0.035767052322626114,0.9042455554008484
2,19,0.4639819264411926,0.42765629291534424,0.060978468507528305,0.5132699012756348
2,20,0.41332724690437317,0.43515947461128235,0.04141798987984657,0.8908498287200928
2,21,0.46138066053390503,0.42702728509902954,0.06476914882659912,0.3922674357891083
2,22,0.4142850935459137,0.43282443284988403,0.047061432152986526,0.8147203922271729
2,23,0.44489040970802307,0.3040885329246521,-0.0040011634118855,0.999945878982544
2,24,0.42664042115211487,0.3047407567501068,0.0037059702444821596,0.9999710321426392
2,25,0.4533505439758301,0.3054545521736145,-0.03490464761853218,0.2743663191795349
2,26,0.4358866214752197,0.2901802659034729,-0.034551143646240234,0.5332976579666138
2,27,0.4544050395488739,0.277544230222702,-0.10859561711549759,0.444050133228302
2,28,0.44417572021484375,0.25684455037117004,-0.1414903998374939,0.6520789265632629
2,29,0.45258229970932007,0.27219393849372864,-0.11719541251659393,0.840087354183197
2,30,0.44336599111557007,0.25016942620277405,-0.1529558151960373,0.8877586126327515
2,31,0.4528050124645233,0.2619207799434662,-0.14773067831993103,0.4847407341003418
2,32,0.4544142186641693,0.24171483516693115,-0.18875356018543243,0.6508476138114929
5,0,0.43733781576156616,0.4287857115268707,0.05933886393904686,0.9967674016952515
5,1,0.43828076124191284,0.43459537625312805,0.06913477182388306,0.9938551783561707
5,2,0.4379332661628723,0.43480056524276733,0.06905843317508698,0.9916146993637085
5,3,0.43752795457839966,0.4346698224544525,0.06911032646894455,0.993539035320282
5,4,0.4401654601097107,0.43436652421951294,0.0585150346159935,0.997462272644043
5,5,0.4409695267677307,0.4341551661491394,0.05836958438158035,0.9980480670928955
5,6,0.4418250322341919,0.43411219120025635,0.05828046053647995,0.9985349178314209
5,7,0.43902358412742615,0.43163323402404785,0.10445090383291245,0.9911983609199524
5,8,0.4445149004459381,0.4308909773826599,0.05603964626789093,0.9965734481811523
5,9,0.4363377094268799,0.4227948784828186,0.07362449914216995,0.9887992739677429
5,10,0.43846645951271057,0.4221726059913635,0.05880673602223396,0.9914564490318298
5,11,0.44075027108192444,0.3933040201663971,0.13299433887004852,0.9991476535797119
